ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0034329	cell junction assembly	70/1172	425/18862	5.32634536676815e-14	1.57747851713312e-10	1.32656646000581e-10	PATJ/SEMA4A/LRRTM3/PTEN/SORBS1/BDNF/VSTM5/CNTN5/DRD2/PTPRO/PKP2/LRFN5/FERMT2/PRKCH/ACTN1/FLRT2/TJP1/TLN2/SMAD3/CORO2B/PEAK1/CBLN1/CDH8/SDK2/EPB41L3/CDH2/CDH20/CBLN2/NRXN1/WDPCP/FZD5/OXTR/WNT7A/CTNNB1/WNT5A/ROBO2/PHLDB2/GAP43/CLSTN2/PRKCI/NLGN1/EPHB3/CLDN16/GABRA2/ADGRL3/PDLIM5/UGT8/GPM6A/CTNND2/CDH9/CDH6/EFNA5/GABRG2/DRD1/ADGRF1/EPHA7/GJA1/PTPRK/SDK1/PCLO/PPP1R9A/NRCAM/LRRN3/CLDN23/UBE2V2/GRHL2/NTRK2/NLGN4X/ARHGAP6/IL1RAPL2	70
GO:0007416	synapse assembly	41/1172	173/18862	5.81558900325575e-14	1.57747851713312e-10	1.32656646000581e-10	SEMA4A/LRRTM3/PTEN/BDNF/VSTM5/CNTN5/DRD2/LRFN5/FLRT2/CBLN1/SDK2/CDH2/CBLN2/NRXN1/FZD5/OXTR/WNT7A/WNT5A/ROBO2/GAP43/CLSTN2/NLGN1/EPHB3/GABRA2/ADGRL3/PDLIM5/GPM6A/CDH9/GABRG2/DRD1/ADGRF1/EPHA7/SDK1/PCLO/PPP1R9A/NRCAM/LRRN3/UBE2V2/NTRK2/NLGN4X/IL1RAPL2	41
GO:0050808	synapse organization	67/1172	412/18862	3.47491462701739e-13	6.28380395052312e-10	5.2843087696468e-10	C1QB/NFIA/SEMA4A/TNR/PPFIA4/DISC1/ANK3/LRRTM3/PTEN/BDNF/LRRC4C/GRM5/VSTM5/CNTN5/DRD2/DNM1L/LRFN5/ACTN1/FLRT2/UNC13C/CBLN1/CDH8/SDK2/CDH2/CBLN2/NRXN1/TANC1/FZD5/EPHA4/TIAM1/OXTR/WNT7A/WNT5A/PDZRN3/ROBO2/GAP43/KALRN/CLSTN2/NLGN1/EPHB3/GABRA2/ADGRL3/PDLIM5/GPM6A/CTNND2/CDH9/SPARC/GABRG2/DRD1/ADGRF1/EPHA7/UTRN/SDK1/PCLO/SEMA3E/PPP1R9A/NRCAM/LRRN3/CTTNBP2/WASL/UBE2V2/SYBU/NTRK2/TNC/NLGN4X/FRMPD4/IL1RAPL2	67
GO:0007411	axon guidance	45/1172	277/18862	2.8091427895843e-09	3.42303142987021e-06	2.87856768703517e-06	DAB1/NOTCH2/SEMA4A/TNR/LHX9/BDNF/GAB2/NCAM1/PTPRO/SPTB/NRXN3/FLRT2/BCL11B/PTPRM/DOK6/FEZ2/NRXN1/CHN1/KLF7/EPHA4/PLCG1/YTHDF1/CNTN6/CNTN4/WNT5A/ROBO2/GAP43/KALRN/PIK3CB/EPHB3/BMPR1B/UNC5C/PALLD/SEMA5A/TRIO/ISL1/EFNA5/EPHA7/CRPPA/SEMA3C/SEMA3E/SEMA3A/NRCAM/GFRA2/ANOS1	45
GO:0097485	neuron projection guidance	45/1172	278/18862	3.15486767729973e-09	3.42303142987021e-06	2.87856768703517e-06	DAB1/NOTCH2/SEMA4A/TNR/LHX9/BDNF/GAB2/NCAM1/PTPRO/SPTB/NRXN3/FLRT2/BCL11B/PTPRM/DOK6/FEZ2/NRXN1/CHN1/KLF7/EPHA4/PLCG1/YTHDF1/CNTN6/CNTN4/WNT5A/ROBO2/GAP43/KALRN/PIK3CB/EPHB3/BMPR1B/UNC5C/PALLD/SEMA5A/TRIO/ISL1/EFNA5/EPHA7/CRPPA/SEMA3C/SEMA3E/SEMA3A/NRCAM/GFRA2/ANOS1	45
GO:0060537	muscle tissue development	54/1172	371/18862	4.39525571520919e-09	3.97404370916831e-06	3.34193653854678e-06	HIVEP3/DMRTA2/TGFBR3/COL11A1/RGS4/CENPF/RYR2/PTEN/ANKRD1/SOX6/TENM4/YAP1/CDON/PKP2/MYF5/DCN/IGF1/TBX3/KLF5/MIR17HG/AKAP6/FOS/ALDH1A2/TPM1/SMAD3/ALPK3/AKAP13/MEF2A/MAP2K4/MYOCD/OSR1/SLC8A1/SMYD1/FHL2/BMP2/WNT5A/ADAMTS9/MYLK/KCNAB1/PPARGC1A/PDLIM5/LEF1/ISL1/MEGF10/MIR143/ATG5/GJA1/HDAC9/SEMA3C/CAV2/MTPN/MYOM2/NRG1/ZFPM2	54
GO:0045229	external encapsulating structure organization	56/1172	396/18862	6.55148273827603e-09	4.54936407442303e-06	3.82574705768604e-06	ANGPTL7/COL11A1/TNR/FMOD/NID1/LOXL4/COL2A1/MYF5/DCN/CPB2/COL4A2/FLRT2/SPINT1/FBN1/SMAD3/LOXL1/ACAN/ADAMTS17/ANTXR1/ITGB6/DPP4/ITGA4/COL3A1/COL5A2/TGM3/BMP2/FBLN2/ADAMTS9/CD47/PHLDB2/CCDC80/OTOL1/SFRP2/TLL1/ADAMTS16/ADAMTS12/ITGA1/ADAMTS6/SPARC/ADAM19/ADTRP/COL12A1/COL28A1/COL1A2/LAMB1/LAMB4/CAV2/LOXL2/SULF1/MMP16/TNFRSF11B/COL14A1/COL22A1/RIC1/ADAMTSL1/TNC	56
GO:0007409	axonogenesis	62/1172	460/18862	6.70873964891875e-09	4.54936407442303e-06	3.82574705768604e-06	DAB1/NOTCH2/SEMA4A/TNR/LHX9/DISC1/ANK3/PTEN/BDNF/LRRC4C/GAB2/NCAM1/DRD2/PTPRO/ZDHHC17/SPTB/NRXN3/FLRT2/BCL11B/BAIAP2/PTPRM/CDH2/DOK6/FEZ2/NRXN1/CHN1/ITGA4/KLF7/MAP2/EPHA4/PLCG1/YTHDF1/TIAM1/CNTN6/CNTN4/WNT7A/GOLGA4/WNT5A/ROBO2/GAP43/KALRN/PIK3CB/EPHB3/BMPR1B/UNC5C/PALLD/SEMA5A/TRIO/ISL1/EFNA5/EPHA7/UST/CRPPA/SEMA3C/SEMA3E/SEMA3A/LMTK2/NRCAM/GFRA2/NTRK2/OLFM1/ANOS1	62
GO:0050807	regulation of synapse organization	36/1172	204/18862	1.19003833775159e-08	5.85358049897747e-06	4.92251620326333e-06	SEMA4A/DISC1/LRRTM3/PTEN/BDNF/VSTM5/DRD2/DNM1L/LRFN5/FLRT2/CBLN1/CDH8/CDH2/CBLN2/NRXN1/EPHA4/TIAM1/OXTR/WNT7A/WNT5A/ROBO2/KALRN/CLSTN2/NLGN1/EPHB3/PDLIM5/GPM6A/SPARC/EPHA7/PPP1R9A/LRRN3/CTTNBP2/UBE2V2/NTRK2/FRMPD4/IL1RAPL2	36
GO:1901888	regulation of cell junction assembly	35/1172	195/18862	1.20710462968016e-08	5.85358049897747e-06	4.92251620326333e-06	SEMA4A/LRRTM3/PTEN/BDNF/VSTM5/LRFN5/FERMT2/PRKCH/FLRT2/TJP1/SMAD3/PEAK1/CBLN1/CBLN2/NRXN1/WDPCP/FZD5/OXTR/WNT7A/WNT5A/ROBO2/PHLDB2/CLSTN2/NLGN1/EPHB3/PDLIM5/EFNA5/EPHA7/GJA1/PPP1R9A/LRRN3/UBE2V2/NTRK2/ARHGAP6/IL1RAPL2	35
