ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007409	axonogenesis	159/3336	460/18862	1.13241959022695e-18	7.08101969768914e-15	5.2210503212569e-15	PIK3CD/EPHB2/EPHA10/DAB1/LPAR3/NGF/NOTCH2/SEMA4A/SPTA1/LMX1A/TNR/LHX4/LHX9/PLXNA2/DISC1/GATA3/NRP1/ANK3/EGR2/MYPN/PTEN/SLIT1/FGFR2/BDNF/LRRC4C/MAP6/TSKU/GAB2/NCAM1/DRD2/NECTIN1/FEZ1/PTPRO/DIP2B/ZDHHC17/PLXNC1/NTN4/TCTN1/RNF6/DCLK1/SLITRK1/SLITRK6/IRS2/SPTB/SIPA1L1/NRXN3/FLRT2/RPS6KA5/BCL11B/FOXB1/NEO1/CDH11/IST1/PAFAH1B1/NTN1/TRPV2/NOG/BAIAP2/LAMA1/PTPRM/LAMA3/CDH2/B4GALT6/RNF165/BCL2/DOK6/STK11/ARHGAP35/RAB10/SPAST/FEZ2/SOS1/NRXN1/RTN4/GLI2/NR4A2/CHN1/ITGA4/NRP2/KLF7/MAP2/EPHA4/SRC/PLCG1/B4GALT5/BMP7/YTHDF1/TIAM1/CNTN6/CNTN4/WNT7A/GOLGA4/DAG1/WNT5A/ROBO2/ROBO1/EPHA3/GAP43/GSK3B/SEMA5B/KALRN/EPHB1/PIK3CB/EPHB3/MAP3K13/SLIT2/EPHA5/RUFY3/BMPR1B/UNC5C/PALLD/SEMA5A/TRIO/ISL1/ACTBL2/ZSWIM6/PIK3R1/MAP1B/EFNA5/CDKL3/POU4F3/SLIT3/VEGFA/EPHA7/POU3F2/UST/TIAM2/CRPPA/EVX1/GLI3/GRB10/COBL/AUTS2/LIMK1/SEMA3C/SEMA3E/SEMA3A/SEMA3D/LMTK2/RELN/NRCAM/PLXNA4/GFRA2/KIF13B/UNC5D/EXT1/PTK2/NFIB/NTRK2/SHC3/STXBP1/OLFM1/ANOS1/SH3KBP1/USP9X/OPHN1/PAK3/SLC9A6/SLITRK4	159
GO:0034329	cell junction assembly	144/3336	425/18862	3.47109416757633e-16	1.08523759149274e-12	8.00178550209701e-13	RCC2/EPHB2/COL16A1/GJA4/CLDN19/PATJ/ADGRL2/RAB13/SEMA4A/ACTN2/NRP1/LRRTM3/SPOCK2/DLG5/PTEN/SORBS1/SLIT1/BDNF/PTPRJ/SHANK2/VSTM5/CNTN5/DRD2/NECTIN1/CLSTN3/PTPRO/PKP2/RAP1B/PCDH17/SLITRK1/SLITRK6/GPC6/FARP1/LRFN5/FERMT2/PRKCH/ACTN1/FLRT2/TJP1/FMN1/THBS1/TLN2/SMAD3/CORO2B/MYO9A/PEAK1/IQGAP1/CBLN1/CDH8/CDH11/CDH5/MARVELD3/NTN1/BCAS3/PECAM1/SDK2/EPB41L3/LAMA3/CDH2/CDH20/BCL2/CDH7/CBLN2/SHANK1/ROCK2/NRXN1/WDPCP/MAP4K4/CLASP1/PKP4/ITGA6/FZD5/ERBB4/SRC/CLDN8/RUNX1/CRKL/LRRN1/OXTR/WNT7A/PDCD6IP/CTNNB1/WNT5A/FAM107A/ROBO2/EPHA3/PHLDB2/GAP43/EPHB1/CLSTN2/PRKCI/NLGN1/EPHB3/CLDN1/CLDN16/IL1RAP/GABRA2/ADGRL3/GRID2/PDLIM5/UGT8/RAPGEF2/GPM6A/CLDN24/CTNND2/CDH18/CDH12/CDH10/CDH9/CDH6/MAP1B/MEF2C/EFNA5/APC/CTNNA1/GABRB2/GABRG2/DRD1/VEGFA/ADGRF1/TPBG/EPHA7/GJA1/PTPRK/SDK1/PCLO/PPP1R9A/NRCAM/LRRN3/CLDN23/PTK2B/UBE2V2/GRHL2/PTK2/PLEC/PTPRD/TEK/NTRK2/NLGN4X/ARHGAP6/GPM6B/OPHN1/IL1RAPL2/SLITRK4	144
GO:0045785	positive regulation of cell adhesion	141/3336	425/18862	4.97836252689698e-15	1.03765669602289e-11	7.65095714659957e-12	TNFRSF14/RUNX3/COL16A1/LCK/JAK1/CCN1/VCAM1/VAV3/CSF1/SPTA1/XCL1/SELE/TNFSF18/SOX13/CD55/TGFB2/HLX/DUSP10/ITPKB/DISC1/NID1/ZP4/KIF26B/NLRP3/IL2RA/GATA3/APBB1IP/NRP1/ANK3/SPOCK2/ZMIZ1/GPAM/DOCK1/CD44/MDK/PTPRJ/CD5/ZBTB16/ST3GAL4/IGF1/SLC7A1/HSPH1/TNFSF13B/FOXA1/FERMT2/TJP1/FMN1/TPM1/SMAD3/IQGAP1/IL4R/NOD2/CX3CL1/ZFHX3/CDH13/PIK3R6/MALT1/FUT3/CD70/ICAM1/PLAUR/VIT/PRKCE/MAP4K4/NCK2/GLI2/DPP4/ITGA6/ITGA4/ITGAV/CTLA4/ICOS/RIN2/SRC/TGM2/PREX1/CASS4/BMP7/RUNX1/CRKL/FBLN2/TGFBR2/DAG1/SELENOK/WNT5A/MAGI1/COL8A1/NFKBIZ/CD47/CCDC80/GSK3B/CD86/IL12A/CXCL13/PPP3CA/LEF1/IL2/IL21/IL15/SFRP2/FGB/NPY2R/IL7R/PIK3R1/AP3B1/EDIL3/MEGF10/CD74/ADAM19/RREB1/NEDD9/CD83/CARMIL1/HLA-E/HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/VEGFA/UTRN/CARD11/AGR2/GLI3/CDK6/COL26A1/PTK2B/DUSP26/BAG4/PLEKHA2/IL7/RIPK2/ANGPT1/HAS2/DOCK8/JAK2/CD274/TEK/ANXA1/SYK/EPB41L4B/PAK3	141
GO:0050808	synapse organization	135/3336	412/18862	5.60085148881865e-14	8.75553108989575e-11	6.45571829500675e-11	C1QB/EPHB2/WASF2/NFIA/ADGRL2/SEMA4A/LMX1A/TNR/PPFIA4/DISC1/ARHGAP22/ANK3/ZNF365/LRRTM3/SRGN/SPOCK2/DLG5/PTEN/SLIT1/PPFIBP2/BDNF/CAPRIN1/LRRC4C/SHANK2/GRM5/VSTM5/CNTN5/DRD2/NECTIN1/CLSTN3/PPFIBP1/DNM1L/LRRK2/PPFIA2/WASF3/PCDH17/SLITRK1/SLITRK6/GPC6/FARP1/COL4A1/LRFN5/GPHN/ACTN1/SIPA1L1/FLRT2/CHRNA7/UNC13C/ABHD17C/IGF1R/CBLN1/CX3CL1/CDH8/NTN1/SHISA6/ARHGAP44/C1QL1/TANC2/SDK2/CDH2/CBLN2/C3/INSR/UNC13A/SHANK1/NRXN1/CACNB4/TANC1/NRP2/FZD5/ERBB4/EPHA4/DOCK10/PRNP/TIAM1/CRKL/LRRN1/OXTR/WNT7A/DAG1/WNT5A/ERC2/PDZRN3/ROBO2/GAP43/KALRN/TMEM108/EPHB1/CLSTN2/NLGN1/EPHB3/IL1RAP/APBB2/GABRA2/ADGRL3/SEPTIN11/GRID2/PDLIM5/GPM6A/CTNND2/CDH9/ACTBL2/MAP1B/HOMER1/MEF2C/SPARC/GABRB2/GABRG2/DRD1/ADGRF1/TPBG/EPHA7/UTRN/SDK1/PCLO/SEMA3E/PPP1R9A/RELN/NRCAM/LRRN3/CTTNBP2/WASL/UBE2V2/SYBU/PTPRD/NTRK2/TNC/DAB2IP/NLGN4X/FRMPD4/CNKSR2/OPHN1/IL1RAPL2/PAK3/SLITRK4	135
GO:0010975	regulation of neuron projection development	138/3336	428/18862	1.18944396576443e-13	1.487518623585e-10	1.09679254106278e-10	EPHB2/MFSD2A/DAB1/ROR1/LRRC7/NEGR1/LPAR3/GFI1/NGF/SEMA4A/PRRX1/TNR/ABL2/PLXNA2/MARK1/DISC1/GATA3/NRP1/ZNF365/PTEN/ANKRD1/DENND5A/BDNF/CAPRIN1/LRRC4C/MDK/MAP6/TSKU/TRPC6/FEZ1/PTPRO/DNM1L/LRRK2/DIP2B/AVIL/PPFIA2/PLXNC1/RNF6/SLITRK1/STK24/PRKD1/SIPA1L1/NTRK3/IQGAP1/RGMA/CX3CL1/IST1/NTN1/ARHGAP44/TRPV2/NME1/TANC2/CDH2/STK11/ARHGAP35/ALK/RTN4/CCDC88A/BCL11A/DGUOK/ITGA6/CHN1/HECW2/MAP2/EPHA4/CBFA2T2/PREX1/BMP7/TIAM1/CRKL/WNT7A/GOLGA4/GORASP1/ULK4/WNT5A/PTPRG/ROBO2/ROBO1/EPHA3/GSK3B/SEMA5B/KALRN/PRKCI/TNIK/NLGN1/EPHB3/MAP3K13/DGKG/SLIT2/RUFY3/SCARB2/GRID2/PDLIM5/PPP3CA/SFRP2/RAPGEF2/TENM3/SEMA5A/MAP1B/ARSB/CDKL3/SPOCK1/FBXO38/MYLIP/VEGFA/BMP5/TMEM30A/EPHA7/POU3F2/RTN4IP1/UST/TIAM2/HECW1/COBL/LIMK1/MAGI2/SEMA3C/SEMA3E/SEMA3A/SEMA3D/PPP1R9A/CUX1/RELN/PLXNA4/PRAG1/PTK2B/KIF13B/UBE2V2/STMN2/SDC2/CSMD3/KANK1/PTPRD/NTRK2/KLF4/LPAR1/DAB2IP/PAK3	138
GO:0007411	axon guidance	100/3336	277/18862	1.47888519534643e-13	1.54124485441687e-10	1.13640651852936e-10	PIK3CD/EPHB2/EPHA10/DAB1/NOTCH2/SEMA4A/SPTA1/LMX1A/TNR/LHX4/LHX9/PLXNA2/GATA3/NRP1/EGR2/MYPN/SLIT1/BDNF/GAB2/NCAM1/NECTIN1/FEZ1/PTPRO/PLXNC1/NTN4/IRS2/SPTB/NRXN3/FLRT2/RPS6KA5/BCL11B/NEO1/NTN1/NOG/LAMA1/PTPRM/LAMA3/RNF165/DOK6/ARHGAP35/FEZ2/SOS1/NRXN1/GLI2/CHN1/NRP2/KLF7/EPHA4/SRC/PLCG1/BMP7/YTHDF1/CNTN6/CNTN4/DAG1/WNT5A/ROBO2/ROBO1/EPHA3/GAP43/SEMA5B/KALRN/EPHB1/PIK3CB/EPHB3/SLIT2/EPHA5/BMPR1B/UNC5C/PALLD/SEMA5A/TRIO/ISL1/ZSWIM6/PIK3R1/EFNA5/POU4F3/SLIT3/VEGFA/EPHA7/CRPPA/EVX1/GLI3/GRB10/SEMA3C/SEMA3E/SEMA3A/SEMA3D/RELN/NRCAM/PLXNA4/GFRA2/UNC5D/EXT1/PTK2/NFIB/SHC3/ANOS1/SH3KBP1/OPHN1	100
GO:0097485	neuron projection guidance	100/3336	278/18862	1.91380546560411e-13	1.70957508234607e-10	1.26052149463849e-10	PIK3CD/EPHB2/EPHA10/DAB1/NOTCH2/SEMA4A/SPTA1/LMX1A/TNR/LHX4/LHX9/PLXNA2/GATA3/NRP1/EGR2/MYPN/SLIT1/BDNF/GAB2/NCAM1/NECTIN1/FEZ1/PTPRO/PLXNC1/NTN4/IRS2/SPTB/NRXN3/FLRT2/RPS6KA5/BCL11B/NEO1/NTN1/NOG/LAMA1/PTPRM/LAMA3/RNF165/DOK6/ARHGAP35/FEZ2/SOS1/NRXN1/GLI2/CHN1/NRP2/KLF7/EPHA4/SRC/PLCG1/BMP7/YTHDF1/CNTN6/CNTN4/DAG1/WNT5A/ROBO2/ROBO1/EPHA3/GAP43/SEMA5B/KALRN/EPHB1/PIK3CB/EPHB3/SLIT2/EPHA5/BMPR1B/UNC5C/PALLD/SEMA5A/TRIO/ISL1/ZSWIM6/PIK3R1/EFNA5/POU4F3/SLIT3/VEGFA/EPHA7/CRPPA/EVX1/GLI3/GRB10/SEMA3C/SEMA3E/SEMA3A/SEMA3D/RELN/NRCAM/PLXNA4/GFRA2/UNC5D/EXT1/PTK2/NFIB/SHC3/ANOS1/SH3KBP1/OPHN1	100
GO:0031589	cell-substrate adhesion	119/3336	359/18862	7.28785974177083e-13	5.69637337066162e-10	4.20010864065213e-10	AJAP1/RCC2/COL16A1/CCN1/GBP1/VCAM1/CSF1/SRGAP2/USH2A/DISC1/NID1/ACTN2/ITGA8/NRP1/COL13A1/SPOCK2/PTEN/SORBS1/ATRNL1/DOCK1/CD44/MDK/PTPRJ/PTPRO/MYF5/PPFIA2/NTN4/ITGBL1/FERMT2/ACTN1/FMN1/THBS1/TRPM7/SMAD6/SMAD3/CORO2B/PEAK1/IQGAP1/CX3CL1/CDH13/BCAS3/BCL2/ACTN4/LYPD3/ROCK2/VIT/PRKCE/WDPCP/ANTXR1/MAP4K4/MERTK/CLASP1/ITGB6/ITGA6/ITGA4/ITGAV/COL3A1/TMEFF2/SIGLEC1/RIN2/SRC/PREX1/CASS4/TIAM1/CRKL/FBLN2/DAG1/FAM107A/ADAMTS9/EPHA3/COL8A1/CD96/PHLDB2/CCDC80/GSK3B/EPHB1/PIK3CB/EPHB3/BST1/HPSE/AP1AR/FGB/NPY2R/ADAMTS12/ITGA1/PIK3R1/EDIL3/EFNA5/FER/SPOCK1/SPRY4/RREB1/NEDD9/CARMIL1/VEGFA/PTPRK/UTRN/RADIL/AGR2/SEMA3E/CDK6/SGCE/SERPINE1/COL26A1/LAMB1/LAMB4/PTK2B/PLEKHA2/ANGPT1/HAS2/PTK2/KANK1/JAK2/ACER2/TEK/TMEM8B/MEGF9/ARHGAP6/GPM6B	119
GO:0016358	dendrite development	87/3336	234/18862	8.66576204812143e-13	6.02077889854481e-10	4.43930266324817e-10	RERE/EPHB2/MFSD2A/DAB1/SRGAP2C/SRGAP2/MARK1/DISC1/NRP1/PRKG1/ZNF365/DLG5/PTEN/CPEB3/CAPRIN1/SHANK2/MAP6/TRPC6/DNM1L/LRRK2/GRIP1/PPFIA2/DCLK1/FARP1/SIPA1L1/CHRNA7/IQGAP1/MEF2A/NTN1/ARHGAP44/TANC2/STK11/SHANK1/ALK/BCL11A/NCK2/HECW2/KLF7/MAP2/EPHA4/DOCK10/BTBD3/PREX1/BMP7/TIAM1/CRKL/RBFOX2/WNT7A/GORASP1/GSK3B/KALRN/EPHB1/TNIK/NLGN1/EPHB3/DGKG/PDLIM5/PPP3CA/IL2/RAPGEF2/CTNND2/PLK2/MAP1B/MEF2C/CDKL3/PHACTR1/BMP5/TPBG/RTN4IP1/SDK1/TMEM106B/HECW1/COBL/SEMA3A/PPP1R9A/CUX1/RELN/WASL/SDC2/CSMD3/ASAP1/PTPRD/GRIN3A/LPAR1/DAB2IP/ACSL4/PAK3	87
GO:1901888	regulation of cell junction assembly	76/3336	195/18862	1.54801932443231e-12	9.67976483567524e-10	7.13718383264582e-10	RCC2/EPHB2/COL16A1/CLDN19/ADGRL2/SEMA4A/NRP1/LRRTM3/DLG5/PTEN/SLIT1/BDNF/PTPRJ/VSTM5/NECTIN1/CLSTN3/RAP1B/SLITRK1/SLITRK6/GPC6/LRFN5/FERMT2/PRKCH/FLRT2/TJP1/FMN1/THBS1/SMAD3/PEAK1/IQGAP1/CBLN1/NTN1/BCAS3/CBLN2/ROCK2/NRXN1/WDPCP/MAP4K4/CLASP1/FZD5/SRC/RUNX1/LRRN1/OXTR/WNT7A/WNT5A/FAM107A/ROBO2/EPHA3/PHLDB2/EPHB1/CLSTN2/NLGN1/EPHB3/CLDN1/IL1RAP/GRID2/PDLIM5/RAPGEF2/MEF2C/EFNA5/VEGFA/TPBG/EPHA7/GJA1/PPP1R9A/LRRN3/UBE2V2/PTK2/PTPRD/TEK/NTRK2/ARHGAP6/GPM6B/IL1RAPL2/SLITRK4	76
