ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:2000650	negative regulation of sodium ion transmembrane transporter activity	5/418	12/18862	3.63543055773528e-06	0.0120062579468206	0.0108492857215867	PRKCE/STK39/HECW2/DRD3/HECW1	5
GO:1902306	negative regulation of sodium ion transmembrane transport	5/418	13/18862	5.80012461199064e-06	0.0120062579468206	0.0108492857215867	PRKCE/STK39/HECW2/DRD3/HECW1	5
GO:0010766	negative regulation of sodium ion transport	5/418	18/18862	3.52321977458567e-05	0.0486204328892822	0.0439351686978157	PRKCE/STK39/HECW2/DRD3/HECW1	5
GO:0090382	phagosome maturation	7/418	46/18862	6.33544521276849e-05	0.0639092122580025	0.0577506586231734	TCIRG1/ATP6V0A2/MREG/ATP6V0E1/ATP6V1B2/ATP6V1H/SRPX	7
GO:0035265	organ growth	13/418	166/18862	8.67779862286114e-05	0.0639092122580025	0.0577506586231734	TGFBR3/WT1/IGF1/NDRG4/SLC6A4/BCL2/VGLL4/RARB/EVC/RBPJ/JARID2/GJA1/EXT1	13
GO:0007409	axonogenesis	24/418	460/18862	0.000102123277779508	0.0639092122580025	0.0577506586231734	MACF1/ANK3/LRRC4C/PICALM/NCAM1/MYCBP2/SIPA1L1/NEO1/SMAD4/BCL2/CTNNA2/FN1/KALRN/EPHB1/SEMA5A/TRIO/GFRA3/CSF1R/RANBP9/EPHA7/ADCY1/UNC5D/EXT1/PTK2	24
GO:0007035	vacuolar acidification	5/418	23/18862	0.000126280749873921	0.0639092122580025	0.0577506586231734	TCIRG1/ATP6V0A2/DMXL2/ATP6V0E1/ATP6V1H	5
GO:0006584	catecholamine metabolic process	7/418	52/18862	0.000141269366399485	0.0639092122580025	0.0577506586231734	EPAS1/DRD3/SNCAIP/PRKN/DDC/ATP7A/HPRT1	7
GO:0009712	catechol-containing compound metabolic process	7/418	52/18862	0.000141269366399485	0.0639092122580025	0.0577506586231734	EPAS1/DRD3/SNCAIP/PRKN/DDC/ATP7A/HPRT1	7
GO:0097306	cellular response to alcohol	9/418	89/18862	0.000157134222514579	0.0639092122580025	0.0577506586231734	ITPR2/OSBPL7/PRKCE/ADCY2/HMGCS1/CTNNA1/ADCY1/ADCY8/CYBB	9
GO:0042417	dopamine metabolic process	6/418	38/18862	0.000172982472014196	0.0639092122580025	0.0577506586231734	DRD3/SNCAIP/PRKN/DDC/ATP7A/HPRT1	6
GO:1901653	cellular response to peptide	21/418	391/18862	0.000185244093501457	0.0639092122580025	0.0577506586231734	BCAR3/VCAM1/VWA2/TCIRG1/IGF1/ATP6V0A2/KLF5/ZFP36L1/RAB8B/INPP5K/GRB14/PRNP/XBP1/ADCY2/ATP6V0E1/GJA1/ADCY1/ATP6V1B2/ATP6V1H/ADCY8/PTK2	21
GO:0051452	intracellular pH reduction	7/418	55/18862	0.000202408387516167	0.0644592864859177	0.0582477254439236	TCIRG1/ATP6V0A2/DMXL2/BCL2/ATP6V0E1/ATP6V1B2/ATP6V1H	7
GO:0070661	leukocyte proliferation	18/418	312/18862	0.000223049142408324	0.0659588178264616	0.0596027557984349	VCAM1/CSF1/IL2RA/TCIRG1/TBK1/IGF1/TNFSF11/RASGRP1/BCL2/MARCHF7/PRNP/IL5RA/KIT/IL5/CSF1R/TNFAIP3/PTK2/HPRT1	18
GO:0045851	pH reduction	7/418	58/18862	0.000283303794350248	0.0757883193989737	0.0684850463117093	TCIRG1/ATP6V0A2/DMXL2/BCL2/ATP6V0E1/ATP6V1B2/ATP6V1H	7
GO:0051047	positive regulation of secretion	17/418	295/18862	0.000335401702835698	0.0757883193989737	0.0684850463117093	IGF1/TNFSF11/ANG/RAB8B/SCAMP5/SLC6A4/SMAD4/RAB27B/PRKCE/XBP1/CACNA1I/DRD3/ILDR1/P2RY1/GJA1/ADCY8/VAMP7	17
GO:0090383	phagosome acidification	5/418	28/18862	0.000336697788341302	0.0757883193989737	0.0684850463117093	TCIRG1/ATP6V0A2/ATP6V0E1/ATP6V1B2/ATP6V1H	5
GO:0043547	positive regulation of GTPase activity	21/418	411/18862	0.000362100834741841	0.0757883193989737	0.0684850463117093	BCAR3/RASAL2/DENND1B/RAB3GAP2/RSU1/PICALM/ARHGAP42/PLEKHG6/SIPA1L1/RGS6/RASGRP1/CCL16/ARHGAP15/ALS2/PLCB1/KALRN/RASA2/NEDD9/MMUT/ASAP1/STARD8	21
GO:0048732	gland development	21/418	413/18862	0.000386063627790586	0.0757883193989737	0.0684850463117093	TGFBR3/CSF1/ARID5B/WT1/ETS1/TNFSF11/GOT2/FA2H/SMAD4/BCL2/TFCP2L1/CUL3/XBP1/KALRN/RBPJ/HMGCS1/CSF1R/JARID2/TNFAIP3/CYP7B1/ATP7A	21
GO:0014072	response to isoquinoline alkaloid	5/418	29/18862	0.000399504697743511	0.0757883193989737	0.0684850463117093	GOT2/PRKCE/ATG7/DRD3/ADCY8	5
GO:0043278	response to morphine	5/418	29/18862	0.000399504697743511	0.0757883193989737	0.0684850463117093	GOT2/PRKCE/ATG7/DRD3/ADCY8	5
GO:0070482	response to oxygen levels	20/418	385/18862	0.00040273986154044	0.0757883193989737	0.0684850463117093	TGFBR3/VCAM1/CUL2/ETS1/ITPR2/ATP6V0A2/ANG/EGLN3/ZFP36L1/RORA/SLC6A4/SMAD4/BCL2/PRKCE/EPAS1/ATG7/RBPJ/CYBB/ATP7A/PGK1	20
GO:0006885	regulation of pH	9/418	103/18862	0.000472853441407855	0.0851136194534139	0.0769117222317399	TCIRG1/ATP5F1B/ATP6V0A2/DMXL2/RHCG/BCL2/ATP6V0E1/ATP6V1B2/ATP6V1H	9
GO:0018958	phenol-containing compound metabolic process	9/418	106/18862	0.000583792892712509	0.100704273992908	0.0909999973991341	BCL2/EPAS1/ZEB2/DRD3/SNCAIP/PRKN/DDC/ATP7A/HPRT1	9
GO:0002573	myeloid leukocyte differentiation	13/418	204/18862	0.000651948911065725	0.105277797164698	0.0951327971328085	CSF1/TCIRG1/TNFSF11/ZFP36L1/GPR55/RBPJ/KIT/AP3B1/IL5/CSF1R/CD109/CDK6/CCN4	13
