ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007409	axonogenesis	125/2625	460/18862	3.15997485709928e-14	1.95002048431597e-10	1.51412689994905e-10	PIK3CD/EPHB2/EPHA10/LPAR3/NGF/SPTA1/LMX1A/TNR/LHX4/PLXNA2/GATA3/NRP1/EGR2/MYPN/SLIT1/FGFR2/MAP6/TSKU/GAB2/NCAM1/DRD2/NECTIN1/FEZ1/PTPRO/DIP2B/PLXNC1/NTN4/TCTN1/RNF6/DCLK1/SLITRK1/SLITRK6/IRS2/SIPA1L1/RPS6KA5/FOXB1/NEO1/CDH11/IST1/PAFAH1B1/NTN1/TRPV2/NOG/LAMA1/PTPRM/LAMA3/CDH2/B4GALT6/RNF165/BCL2/STK11/ARHGAP35/RAB10/SPAST/FEZ2/SOS1/NRXN1/RTN4/GLI2/NR4A2/CHN1/NRP2/EPHA4/SRC/B4GALT5/BMP7/TIAM1/CNTN6/CNTN4/DAG1/ROBO2/ROBO1/EPHA3/GSK3B/SEMA5B/KALRN/EPHB1/PIK3CB/MAP3K13/SLIT2/EPHA5/RUFY3/BMPR1B/TRIO/ACTBL2/ZSWIM6/PIK3R1/MAP1B/EFNA5/CDKL3/POU4F3/SLIT3/VEGFA/EPHA7/POU3F2/UST/TIAM2/EVX1/GLI3/GRB10/COBL/AUTS2/LIMK1/SEMA3C/SEMA3E/SEMA3A/SEMA3D/LMTK2/RELN/PLXNA4/KIF13B/UNC5D/EXT1/PTK2/NFIB/NTRK2/SHC3/STXBP1/OLFM1/SH3KBP1/USP9X/OPHN1/PAK3/SLC9A6/SLITRK4	125
GO:0045785	positive regulation of cell adhesion	116/2625	425/18862	1.94689067454444e-13	6.00713117630688e-10	4.66434018448753e-10	TNFRSF14/RUNX3/COL16A1/CCN1/VCAM1/VAV3/CSF1/SPTA1/XCL1/SELE/TNFSF18/SOX13/CD55/TGFB2/HLX/DUSP10/ITPKB/ZP4/KIF26B/NLRP3/IL2RA/GATA3/APBB1IP/NRP1/SPOCK2/ZMIZ1/GPAM/DOCK1/CD44/MDK/PTPRJ/CD5/ZBTB16/SLC7A1/HSPH1/TNFSF13B/FOXA1/TJP1/FMN1/IQGAP1/IL4R/NOD2/CX3CL1/ZFHX3/CDH13/PIK3R6/MALT1/FUT3/CD70/ICAM1/PLAUR/VIT/PRKCE/MAP4K4/GLI2/DPP4/ITGA6/ITGAV/ICOS/RIN2/SRC/TGM2/PREX1/BMP7/RUNX1/CRKL/TGFBR2/DAG1/SELENOK/MAGI1/COL8A1/NFKBIZ/GSK3B/CD86/IL12A/CXCL13/PPP3CA/IL2/IL21/IL15/FGB/NPY2R/IL7R/PIK3R1/AP3B1/EDIL3/MEGF10/CD74/RREB1/NEDD9/CD83/CARMIL1/HLA-E/HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/VEGFA/UTRN/CARD11/AGR2/GLI3/CDK6/PTK2B/BAG4/PLEKHA2/RIPK2/ANGPT1/HAS2/JAK2/CD274/TEK/ANXA1/SYK/EPB41L4B/PAK3	116
GO:0034329	cell junction assembly	111/2625	425/18862	1.3582020327448e-11	2.79382158135606e-08	2.16931075545767e-08	RCC2/EPHB2/COL16A1/GJA4/CLDN19/ADGRL2/RAB13/ACTN2/NRP1/LRRTM3/SPOCK2/DLG5/SLIT1/PTPRJ/SHANK2/VSTM5/CNTN5/DRD2/NECTIN1/CLSTN3/PTPRO/PKP2/RAP1B/PCDH17/SLITRK1/SLITRK6/GPC6/FARP1/LRFN5/TJP1/FMN1/THBS1/CORO2B/MYO9A/PEAK1/IQGAP1/CDH8/CDH11/CDH5/MARVELD3/NTN1/BCAS3/PECAM1/EPB41L3/LAMA3/CDH2/CDH20/BCL2/CDH7/SHANK1/ROCK2/NRXN1/WDPCP/MAP4K4/CLASP1/PKP4/ITGA6/FZD5/ERBB4/SRC/CLDN8/RUNX1/CRKL/LRRN1/PDCD6IP/FAM107A/ROBO2/EPHA3/PHLDB2/EPHB1/CLSTN2/PRKCI/NLGN1/CLDN1/IL1RAP/GABRA2/GRID2/PDLIM5/RAPGEF2/GPM6A/CLDN24/CDH18/CDH12/CDH10/CDH9/MAP1B/MEF2C/EFNA5/APC/CTNNA1/GABRB2/GABRG2/VEGFA/ADGRF1/TPBG/EPHA7/PTPRK/SDK1/PTK2B/UBE2V2/GRHL2/PTK2/PLEC/PTPRD/TEK/NTRK2/NLGN4X/GPM6B/OPHN1/IL1RAPL2/SLITRK4	111
GO:0010975	regulation of neuron projection development	111/2625	428/18862	2.17495985721771e-11	3.35541931972263e-08	2.60537296580395e-08	EPHB2/MFSD2A/NEGR1/LPAR3/GFI1/NGF/PRRX1/TNR/PLXNA2/GATA3/NRP1/ZNF365/DENND5A/CAPRIN1/MDK/MAP6/TSKU/FEZ1/PTPRO/LRRK2/DIP2B/AVIL/PPFIA2/PLXNC1/RNF6/SLITRK1/STK24/PRKD1/SIPA1L1/IQGAP1/RGMA/CX3CL1/IST1/NTN1/ARHGAP44/TRPV2/TANC2/CDH2/STK11/ARHGAP35/ALK/RTN4/CCDC88A/BCL11A/DGUOK/ITGA6/CHN1/HECW2/EPHA4/CBFA2T2/PREX1/BMP7/TIAM1/CRKL/GORASP1/ULK4/PTPRG/ROBO2/ROBO1/EPHA3/GSK3B/SEMA5B/KALRN/PRKCI/NLGN1/MAP3K13/DGKG/SLIT2/RUFY3/SCARB2/GRID2/PDLIM5/PPP3CA/RAPGEF2/TENM3/MAP1B/ARSB/CDKL3/SPOCK1/MYLIP/VEGFA/BMP5/EPHA7/POU3F2/RTN4IP1/UST/TIAM2/HECW1/COBL/LIMK1/MAGI2/SEMA3C/SEMA3E/SEMA3A/SEMA3D/CUX1/RELN/PLXNA4/PRAG1/PTK2B/KIF13B/UBE2V2/STMN2/CSMD3/KANK1/PTPRD/NTRK2/KLF4/LPAR1/DAB2IP/PAK3	111
GO:0016358	dendrite development	69/2625	234/18862	4.26850199422096e-10	5.26818516126751e-07	4.09057285846186e-07	RERE/EPHB2/MFSD2A/SRGAP2C/SRGAP2/NRP1/PRKG1/ZNF365/DLG5/CPEB3/CAPRIN1/SHANK2/MAP6/LRRK2/GRIP1/PPFIA2/DCLK1/FARP1/SIPA1L1/CHRNA7/IQGAP1/MEF2A/NTN1/ARHGAP44/TANC2/STK11/SHANK1/ALK/BCL11A/HECW2/EPHA4/DOCK10/PREX1/BMP7/TIAM1/CRKL/RBFOX2/GORASP1/GSK3B/KALRN/EPHB1/NLGN1/DGKG/PDLIM5/PPP3CA/IL2/RAPGEF2/MAP1B/MEF2C/CDKL3/PHACTR1/BMP5/TPBG/RTN4IP1/SDK1/TMEM106B/HECW1/COBL/SEMA3A/CUX1/RELN/CSMD3/ASAP1/PTPRD/GRIN3A/LPAR1/DAB2IP/ACSL4/PAK3	69
GO:0031589	cell-substrate adhesion	93/2625	359/18862	9.76984148630575e-10	9.30164737425976e-07	7.22242387527918e-07	RCC2/COL16A1/CCN1/GBP1/VCAM1/CSF1/SRGAP2/USH2A/ACTN2/ITGA8/NRP1/COL13A1/SPOCK2/ATRNL1/DOCK1/CD44/MDK/PTPRJ/PTPRO/PPFIA2/NTN4/ITGBL1/FMN1/THBS1/SMAD6/CORO2B/PEAK1/IQGAP1/CX3CL1/CDH13/BCAS3/BCL2/ACTN4/LYPD3/ROCK2/VIT/PRKCE/WDPCP/MAP4K4/MERTK/CLASP1/ITGA6/ITGAV/SIGLEC1/RIN2/SRC/PREX1/TIAM1/CRKL/DAG1/FAM107A/ADAMTS9/EPHA3/COL8A1/PHLDB2/GSK3B/EPHB1/PIK3CB/HPSE/AP1AR/FGB/NPY2R/ADAMTS12/ITGA1/PIK3R1/EDIL3/EFNA5/FER/SPOCK1/RREB1/NEDD9/CARMIL1/VEGFA/PTPRK/UTRN/RADIL/AGR2/SEMA3E/CDK6/SERPINE1/LAMB1/PTK2B/PLEKHA2/ANGPT1/HAS2/PTK2/KANK1/JAK2/ACER2/TEK/TMEM8B/MEGF9/GPM6B	93
GO:0050808	synapse organization	103/2625	412/18862	1.05512123837009e-09	9.30164737425976e-07	7.22242387527918e-07	EPHB2/WASF2/NFIA/ADGRL2/LMX1A/TNR/ARHGAP22/ZNF365/LRRTM3/SRGN/SPOCK2/DLG5/SLIT1/PPFIBP2/CAPRIN1/SHANK2/VSTM5/CNTN5/DRD2/NECTIN1/CLSTN3/PPFIBP1/LRRK2/PPFIA2/WASF3/PCDH17/SLITRK1/SLITRK6/GPC6/FARP1/COL4A1/LRFN5/GPHN/SIPA1L1/CHRNA7/UNC13C/ABHD17C/IGF1R/CX3CL1/CDH8/NTN1/SHISA6/ARHGAP44/C1QL1/TANC2/CDH2/C3/INSR/UNC13A/SHANK1/NRXN1/CACNB4/TANC1/NRP2/FZD5/ERBB4/EPHA4/DOCK10/PRNP/TIAM1/CRKL/LRRN1/DAG1/ERC2/PDZRN3/ROBO2/KALRN/TMEM108/EPHB1/CLSTN2/NLGN1/IL1RAP/APBB2/GABRA2/SEPTIN11/GRID2/PDLIM5/GPM6A/CDH9/ACTBL2/MAP1B/HOMER1/MEF2C/GABRB2/GABRG2/ADGRF1/TPBG/EPHA7/UTRN/SDK1/SEMA3E/RELN/UBE2V2/PTPRD/NTRK2/TNC/DAB2IP/NLGN4X/CNKSR2/OPHN1/IL1RAPL2/PAK3/SLITRK4	103
GO:0007411	axon guidance	76/2625	277/18862	2.17536521183611e-09	1.45212830503425e-06	1.12752996520497e-06	PIK3CD/EPHB2/EPHA10/SPTA1/LMX1A/TNR/LHX4/PLXNA2/GATA3/NRP1/EGR2/MYPN/SLIT1/GAB2/NCAM1/NECTIN1/FEZ1/PTPRO/PLXNC1/NTN4/IRS2/RPS6KA5/NEO1/NTN1/NOG/LAMA1/PTPRM/LAMA3/RNF165/ARHGAP35/FEZ2/SOS1/NRXN1/GLI2/CHN1/NRP2/EPHA4/SRC/BMP7/CNTN6/CNTN4/DAG1/ROBO2/ROBO1/EPHA3/SEMA5B/KALRN/EPHB1/PIK3CB/SLIT2/EPHA5/BMPR1B/TRIO/ZSWIM6/PIK3R1/EFNA5/POU4F3/SLIT3/VEGFA/EPHA7/EVX1/GLI3/GRB10/SEMA3C/SEMA3E/SEMA3A/SEMA3D/RELN/PLXNA4/UNC5D/EXT1/PTK2/NFIB/SHC3/SH3KBP1/OPHN1	76
GO:0010810	regulation of cell-substrate adhesion	64/2625	218/18862	2.20407301484530e-09	1.45212830503425e-06	1.12752996520497e-06	RCC2/COL16A1/CCN1/GBP1/CSF1/NRP1/SPOCK2/DOCK1/MDK/PTPRJ/PTPRO/FMN1/THBS1/CORO2B/PEAK1/IQGAP1/CX3CL1/CDH13/BCAS3/BCL2/ACTN4/ROCK2/VIT/PRKCE/WDPCP/MAP4K4/CLASP1/ITGA6/RIN2/SRC/PREX1/CRKL/DAG1/FAM107A/EPHA3/COL8A1/PHLDB2/GSK3B/PIK3CB/AP1AR/FGB/NPY2R/PIK3R1/EDIL3/EFNA5/SPOCK1/RREB1/NEDD9/CARMIL1/VEGFA/UTRN/AGR2/SEMA3E/CDK6/SERPINE1/PTK2B/PLEKHA2/HAS2/PTK2/KANK1/JAK2/ACER2/TEK/GPM6B	64
GO:0097485	neuron projection guidance	76/2625	278/18862	2.5921249476135e-09	1.45212830503425e-06	1.12752996520497e-06	PIK3CD/EPHB2/EPHA10/SPTA1/LMX1A/TNR/LHX4/PLXNA2/GATA3/NRP1/EGR2/MYPN/SLIT1/GAB2/NCAM1/NECTIN1/FEZ1/PTPRO/PLXNC1/NTN4/IRS2/RPS6KA5/NEO1/NTN1/NOG/LAMA1/PTPRM/LAMA3/RNF165/ARHGAP35/FEZ2/SOS1/NRXN1/GLI2/CHN1/NRP2/EPHA4/SRC/BMP7/CNTN6/CNTN4/DAG1/ROBO2/ROBO1/EPHA3/SEMA5B/KALRN/EPHB1/PIK3CB/SLIT2/EPHA5/BMPR1B/TRIO/ZSWIM6/PIK3R1/EFNA5/POU4F3/SLIT3/VEGFA/EPHA7/EVX1/GLI3/GRB10/SEMA3C/SEMA3E/SEMA3A/SEMA3D/RELN/PLXNA4/UNC5D/EXT1/PTK2/NFIB/SHC3/SH3KBP1/OPHN1	76
